OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051GB,2026-08-16T20:27:49.348800,15.11094440,.00013459,86.3743,256.3147,308.7364,224.3300,0,U,34486,999,92700,.11492545E-2,.19292E-3,0
IRIDIUM 33 DEB,1997-051GC,2026-08-16T08:42:57.450816,14.43539901,.00321241,86.3389,266.1741,38.4276,334.8841,0,U,34487,999,91806,.77730814E-4,.285E-5,0
IRIDIUM 33 DEB,1997-051GH,2026-08-16T11:35:20.368032,14.29827995,.0177544,86.4673,234.4874,161.0169,351.1502,0,U,34492,999,88580,.14488179E-2,.444E-4,0
IRIDIUM 33 DEB,1997-051GN,2026-08-03T00:50:10.843872,14.28185656,.00770667,86.2801,312.6999,307.0322,228.9779,0,U,34497,999,90212,.33689086E-3,.883E-5,0
IRIDIUM 33 DEB,1997-051GZ,2026-08-16T08:14:57.458976,14.39971994,.00656604,86.3741,357.9149,83.8069,277.0605,0,U,34508,999,90856,.50286939E-3,.1643E-4,0
IRIDIUM 33 DEB,1997-051HN,2026-08-16T15:13:31.692576,14.66260167,.00054736,86.3756,281.5605,125.6927,234.4797,0,U,34521,999,92087,.43493234E-3,.2419E-4,0
IRIDIUM 33 DEB,1997-051HS,2026-08-16T12:26:21.330816,14.43469991,.00045587,86.3732,301.4867,26.9935,37.7716,0,U,34525,999,91647,.14869354E-3,.522E-5,0
IRIDIUM 33 DEB,1997-051HW,2026-08-16T21:02:39.662880,14.40913250,.00072407,86.3622,290.0544,105.3627,254.8373,0,U,34529,999,91700,.10372538E-3,.353E-5,0
IRIDIUM 33 DEB,1997-051JF,2026-08-16T19:40:17.430816,14.43827338,.00327061,86.2714,257.1963,223.3903,189.4977,0,U,34538,999,91320,.22448873E-3,.789E-5,0
IRIDIUM 33 DEB,1997-051JH,2026-08-16T21:48:03.287232,14.80042843,.00171207,86.3120,194.1203,37.7902,348.8767,0,U,34540,999,92672,.80432182E-3,.6129E-4,0
IRIDIUM 33 DEB,1997-051JZ,2026-08-16T20:15:15.206400,14.15083145,.01638358,86.3985,181.9224,238.6463,119.8603,0,U,34648,999,88452,.45343428E-3,.1017E-4,0
IRIDIUM 33 DEB,1997-051KC,2026-08-16T21:15:07.663968,14.29009149,.01336628,86.2805,34.9993,127.1480,234.2010,0,U,34651,999,89422,.14993158E-2,.4196E-4,0
IRIDIUM 33 DEB,1997-051KD,2026-08-15T08:06:53.273376,14.63958206,.00277583,86.3275,230.4364,171.3857,254.1579,0,U,34652,999,92075,.28731132E-3,.1535E-4,0
IRIDIUM 33 DEB,1997-051KM,2026-08-16T21:44:56.984640,14.56284742,.00069989,86.3758,289.4869,253.5976,159.3940,0,U,34690,999,91690,.41717228E-3,.1867E-4,0
IRIDIUM 33 DEB,1997-051KT,2026-08-16T10:14:49.255872,14.80772170,.00519741,86.1774,271.0833,40.3370,23.0218,0,U,34696,999,90306,.1852076E-2,.14642E-3,0
IRIDIUM 33 DEB,1997-051LJ,2026-08-16T14:44:24.897120,14.41060944,.00184553,86.3369,286.7885,121.7642,30.7278,0,U,34765,999,91168,.16403268E-3,.549E-5,0
IRIDIUM 33 DEB,1997-051MH,2026-08-16T09:59:58.299936,14.53795438,.00183586,86.3936,304.5735,355.2619,137.0025,0,U,34833,999,91297,.2819247E-3,.1206E-4,0
IRIDIUM 33 DEB,1997-051MQ,2026-08-16T21:48:06.062400,14.80867305,.00188335,86.3114,200.4185,56.5644,332.9621,0,U,34870,999,92564,.72074049E-3,.5606E-4,0
IRIDIUM 33 DEB,1997-051MY,2026-08-16T17:04:08.556960,14.68418128,.00282501,86.3280,215.6900,90.3357,82.9355,0,U,34896,999,91241,.4064883E-3,.2389E-4,0
IRIDIUM 33 DEB,1997-051NF,2026-08-16T12:58:43.351392,14.63249035,.00703298,86.1287,252.8224,175.7846,336.4763,0,U,34926,999,90057,.10873135E-2,.5831E-4,0
IRIDIUM 33 DEB,1997-051NR,2026-08-16T23:42:26.815104,14.42955431,.00231974,86.3715,311.3432,125.2386,49.8814,0,U,34985,999,90739,.24840776E-3,.853E-5,0
IRIDIUM 33 DEB,1997-051NX,2026-08-16T13:22:00.975936,14.48636326,.00077447,86.3190,261.1718,5.0226,355.1054,0,U,35051,999,90568,.2258511E-3,.87E-5,0
IRIDIUM 33 DEB,1997-051NY,2026-08-16T13:34:34.001184,14.38771212,.00112637,86.3270,274.6463,4.8403,355.2902,0,U,35052,999,90824,.74939857E-4,.25E-5,0
IRIDIUM 33 DEB,1997-051PM,2026-08-13T13:55:17.042304,14.46130277,.00172276,86.3893,318.6268,60.7066,299.5856,0,U,35297,999,73949,.21449044E-3,.787E-5,0
IRIDIUM 33 DEB,1997-051PP,2026-08-16T15:01:40.197216,14.42755520,.00536888,86.2856,285.5286,10.3625,142.3316,0,U,35299,999,89888,.48181855E-3,.1652E-4,0
IRIDIUM 33 DEB,1997-051QA,2026-08-15T09:50:31.903008,14.50836963,.00134598,86.3527,278.3063,15.4127,344.7485,0,U,35480,999,90592,.19717475E-3,.798E-5,0
IRIDIUM 33 DEB,1997-051QE,2026-08-12T07:01:40.512000,15.20842333,.00072273,86.3392,236.9026,324.3997,35.6764,0,U,35484,999,65676,.97739354E-3,.21645E-3,0
IRIDIUM 33 DEB,1997-051QJ,2026-08-13T08:02:52.101600,14.87956432,.00207812,86.3274,188.0948,254.8290,105.0637,0,U,35488,999,91883,.41395111E-3,.3835E-4,0
IRIDIUM 33 DEB,1997-051QN,2026-08-13T23:41:31.030944,14.88126952,.00105066,86.3483,233.5933,54.9098,305.3111,0,U,35616,999,91200,.56984322E-3,.5276E-4,0
IRIDIUM 33 DEB,1997-051QQ,2026-08-15T18:54:15.929568,14.53173131,.0025688,86.3347,245.7958,271.2808,88.5456,0,U,35618,999,68966,.14919401E-3,.641E-5,0
IRIDIUM 33 DEB,1997-051QS,2026-08-15T15:53:53.620224,14.42712908,.01272431,86.3842,113.3094,168.1548,192.2697,0,U,35620,999,63507,.10972485E-2,.4048E-4,0
IRIDIUM 33 DEB,1997-051QU,2026-08-13T12:37:44.225184,15.42562129,.00150983,86.1882,140.5144,92.4075,82.1030,0,U,35622,999,91060,.35697506E-2,.158437E-2,0
IRIDIUM 33 DEB,1997-051QX,2026-08-12T22:11:28.330080,14.32175525,.0104953,86.1872,276.1814,132.7316,347.7702,0,U,35625,999,69519,.51334058E-3,.1489E-4,0
IRIDIUM 33 DEB,1997-051RA,2026-08-16T19:36:38.001600,14.71014711,.00110249,86.3508,258.5051,183.4069,176.7074,0,U,35628,999,90075,.53508295E-3,.3309E-4,0
IRIDIUM 33 DEB,1997-051RD,2026-08-16T14:14:01.927104,14.47870490,.001751,86.3629,274.6337,25.6731,126.0482,0,U,35631,999,90768,.67613465E-4,.271E-5,0
IRIDIUM 33 DEB,1997-051RJ,2026-08-08T10:01:57.969984,14.23323159,.01452993,86.1043,275.6085,238.1690,134.3340,0,U,35680,999,64094,.55259665E-3,.1413E-4,0
IRIDIUM 33 DEB,1997-051RX,2026-08-16T05:41:57.437376,14.74001409,.00231902,86.3286,213.7307,69.0838,291.2859,0,U,35744,999,90959,.50245246E-3,.334E-4,0
IRIDIUM 33 DEB,1997-051SF,2026-08-16T16:53:44.264256,14.89309008,.00115693,86.3331,215.8012,28.9293,331.2572,0,U,35797,999,91009,.8458208E-3,.8053E-4,0
IRIDIUM 33 DEB,1997-051SQ,2026-08-13T20:51:52.248672,14.59683065,.00111822,86.3383,272.8946,333.6285,26.4354,0,U,35806,999,89883,.34749202E-3,.1678E-4,0
IRIDIUM 33 DEB,1997-051ST,2026-08-15T06:35:40.139232,14.80526012,.00148225,86.3241,223.0053,107.1809,253.1036,0,U,35809,999,90435,.59302852E-3,.4574E-4,0
IRIDIUM 33 DEB,1997-051SW,2026-08-13T16:21:40.914720,14.44012884,.00200204,86.3777,314.6868,89.9996,270.3499,0,U,35846,999,74848,.19021406E-3,.672E-5,0
IRIDIUM 33 DEB,1997-051SY,2026-08-12T09:05:22.884576,14.84138722,.00102327,86.3841,266.4330,84.3237,275.9153,0,U,35848,999,70283,.41202118E-3,.3469E-4,0
IRIDIUM 33 DEB,1997-051TA,2026-08-13T07:23:41.304480,14.84168685,.00117552,86.3443,232.8595,75.0774,285.1750,0,U,35850,999,74964,.50366276E-3,.4239E-4,0
IRIDIUM 33 DEB,1997-051TY,2026-08-09T18:19:51.602880,14.86940771,.00135449,86.3390,232.6178,80.4168,279.8587,0,U,35915,999,11646,.75500643E-3,.6787E-4,0
IRIDIUM 33 DEB,1997-051UB,2026-08-09T13:47:44.130912,14.53041196,.00278835,86.4042,332.7212,89.0705,283.7845,0,U,35918,999,88688,.39679471E-3,.1667E-4,0
IRIDIUM 33 DEB,1997-051UN,2026-08-16T15:19:41.839680,15.22667250,.00119479,86.3416,193.9007,156.7804,203.3983,0,U,35929,999,91512,.15262123E-2,.35741E-3,0
IRIDIUM 33 DEB,1997-051US,2026-08-13T23:21:50.156352,14.42030763,.0020511,86.3393,290.4800,132.2307,352.0343,0,U,36011,999,68059,.16083E-3,.549E-5,0
IRIDIUM 33 DEB,1997-051UT,2026-08-14T09:40:03.604800,14.21687308,.0215955,86.4453,208.6168,199.6963,159.5794,0,U,36012,999,68958,.90152E-3,.2529E-4,0
IRIDIUM 33 DEB,1997-051VK,2026-08-15T14:52:40.179936,15.07611437,.00111938,86.3141,189.8072,229.3539,130.6724,0,U,36028,999,90815,.89532398E-3,.13683E-3,0
IRIDIUM 33 DEB,1997-051VM,2026-07-20T11:48:01.895904,14.47451221,.00186953,86.3185,272.1664,146.3546,213.8848,0,U,36080,999,50592,.18222756E-3,.691E-5,0
IRIDIUM 33 DEB,1997-051VQ,2026-08-14T11:02:37.372128,14.44019620,.0028073,86.3416,288.7406,133.7195,226.6338,0,U,36083,999,88980,.1754E-3,.623E-5,0
IRIDIUM 33 DEB,1997-051VU,2026-08-09T04:44:54.878496,14.76419851,.00326296,86.2910,189.3527,60.4020,300.0443,0,U,36390,999,69792,.57414365E-3,.4051E-4,0
IRIDIUM 33 DEB,1997-051VZ,2026-08-16T11:33:48.359808,14.46623967,.00101746,86.3803,306.8249,43.2391,316.9608,0,U,36483,999,68712,.2041268E-3,.757E-5,0
IRIDIUM 33 DEB,1997-051WG,2026-08-16T12:44:55.260096,14.81745043,.00008348,86.3583,258.5398,122.1904,237.9400,0,U,36490,999,90133,.62586836E-3,.4958E-4,0
IRIDIUM 33 DEB,1997-051WK,2026-08-14T09:34:19.924608,14.68259324,.0008593,86.3518,262.6569,214.9738,145.0913,0,U,36493,999,78105,.39958E-3,.2326E-4,0
IRIDIUM 33 DEB,1997-051WP,2026-08-12T01:17:30.130080,14.66910423,.00469246,86.1561,140.4575,16.4903,343.7824,0,U,36497,999,69200,.693843E-3,.3967E-4,0
IRIDIUM 33 DEB,1997-051XG,2026-08-15T07:12:04.029696,14.28429261,.0066893,86.1383,229.2952,284.1936,75.1831,0,U,37136,999,68003,.22112275E-3,.585E-5,0
IRIDIUM 33 DEB,1997-051XH,2026-08-16T21:50:57.147360,14.52966946,.00264554,86.3503,295.6589,86.6653,273.7579,0,U,37548,999,69119,.38964468E-3,.1634E-4,0
IRIDIUM 33 DEB,1997-051XK,2026-08-13T10:57:16.034112,14.70552347,.00034245,86.3730,275.5206,51.9221,308.2303,0,U,37550,999,89911,.38449708E-3,.2357E-4,0
IRIDIUM 33 DEB,1997-051XX,2026-08-16T11:56:10.080096,14.58676799,.0022508,86.3726,295.8060,358.0496,64.0305,0,U,37562,999,89923,.42712608E-3,.2019E-4,0
IRIDIUM 33 DEB,1997-051YA,2026-08-16T09:08:57.020064,14.52519177,.00115377,86.3440,262.0269,344.8577,15.2282,0,U,37565,999,69416,.2018896E-3,.846E-5,0
IRIDIUM 33 DEB,1997-051YD,2026-08-16T11:53:59.789760,14.54411058,.00756333,86.3301,58.2724,1.9601,358.1887,0,U,38017,999,64983,.18695157E-2,.8281E-4,0
IRIDIUM 33 DEB,1997-051YJ,2026-08-14T09:57:04.024224,14.42914250,.004206,86.2644,269.1172,323.0134,36.8167,0,U,38022,999,72720,.29824E-3,.1026E-4,0
IRIDIUM 33 DEB,1997-051YQ,2026-08-15T19:12:56.233440,14.46840462,.00286884,86.3206,253.2294,29.9517,330.3320,0,U,38028,999,69052,.17222605E-3,.648E-5,0
IRIDIUM 33 DEB,1997-051ZC,2026-08-12T12:30:43.055424,14.27660734,.0065851,86.2955,305.2415,127.9762,294.1939,0,U,38228,999,88245,.14058185E-3,.374E-5,0
IRIDIUM 33 DEB,1997-051ZR,2026-08-16T18:16:56.879616,14.56262351,.00016446,86.3176,241.4567,356.8740,3.2458,0,U,38241,999,63794,.27665816E-3,.1244E-4,0
IRIDIUM 33 DEB,1997-051AAB,2026-08-14T09:09:49.576320,14.51715988,.00243,86.3348,263.3451,353.1146,6.9722,0,U,38474,999,68866,.21953E-3,.905E-5,0
IRIDIUM 33 DEB,1997-051AAE,2026-08-09T16:55:31.233504,13.62290420,.03953325,86.4153,16.7257,260.5958,95.0311,0,U,38477,999,57943,.17284726E-2,.2273E-4,0
IRIDIUM 33 DEB,1997-051AAJ,2026-08-16T22:49:16.744800,14.61892206,.00585685,85.9574,54.3742,68.9280,291.8179,0,U,39777,999,63791,.76814652E-3,.396E-4,0
IRIDIUM 33 DEB,1997-051AAK,2026-08-16T14:53:08.985696,14.56031187,.00044913,86.3771,295.8978,266.0811,93.9884,0,U,39778,999,64283,.30299435E-3,.1354E-4,0
IRIDIUM 33 DEB,1997-051AAN,2026-08-11T13:44:29.976288,14.25860442,.01627091,86.3777,158.0059,218.5422,317.7338,0,U,39781,999,11547,.79332243E-3,.2187E-4,0
IRIDIUM 33 DEB,1997-051ABJ,2026-08-15T19:20:05.135136,15.17166289,.00059815,86.3429,244.3710,158.2664,16.7028,0,U,40996,999,66194,.12270667E-2,.24441E-3,0
IRIDIUM 33 DEB,1997-051ABL,2026-08-12T13:06:08.155008,14.45876213,.00070285,86.3844,309.8907,11.3219,46.7583,0,U,40998,999,10189,.15558789E-3,.573E-5,0
IRIDIUM 33 DEB,1997-051ABN,2026-08-07T22:21:18.080064,14.39899138,.019707,86.2762,90.5052,213.2872,209.4027,0,U,46435,999,11338,.57444E-3,.2292E-4,0
IRIDIUM 33 DEB,1997-051ABR,2026-08-12T09:16:01.253568,14.43315600,.00364069,86.2603,256.1819,248.6679,168.5772,0,U,46734,999,66509,.31108139E-3,.1076E-4,0
IRIDIUM 33 DEB,1997-051ABX,2026-08-15T23:53:59.007840,14.61849166,.00177664,86.3327,231.3020,200.1667,189.4389,0,U,46965,999,65864,.25569352E-3,.1302E-4,0
IRIDIUM 33 DEB,1997-051ACD,2026-08-01T19:02:02.696064,15.14535073,.00077773,86.3103,222.1585,143.8833,33.9115,0,U,46971,999,67723,.20325389E-2,.37637E-3,0
IRIDIUM 33 DEB,1997-051ACE,2026-08-09T12:18:14.154912,14.51640802,.00097931,86.3867,296.1168,37.8149,25.2653,0,U,46972,999,65050,.18035699E-3,.744E-5,0
IRIDIUM 33 DEB,1997-051ACG,2026-08-16T15:32:26.471904,14.49201635,.00885252,86.3019,356.9952,86.4532,274.6791,0,U,46974,999,61079,.13360785E-2,.537E-4,0
IRIDIUM 33 DEB,1997-051ACM,2026-08-08T11:10:23.842272,15.19495070,.00147335,86.3159,295.0123,96.8650,263.4270,0,U,46979,999,39015,.19346846E-2,.41366E-3,0
